GeneName	LogFC
Dpm1	1
Adrbk1	1
AI462493	1
Akna	1
Alas1	1
Aldh2	1
Aldoart1	1
Alox5ap	1
Anxa2	1
Anxa3	1
Anxa5	1
Ap1s2	1
Ap3s1	1
App	1
Arl6ip5	1
Arrb2	1
Atp5e	1
Atp6ap1	1
Atp8b4	1
B4galnt1	1
B9d2	1
BC004004	1
BC031181	1
BC052328	1
Pyhin1	1
Bloc1s2	1
Bri3	1
Btla	1
Bzrap1	1
C030046I01Rik	1
Car1	1
Casc3	1
Casp1	1
Ccdc56	1
Ccl9	1
Ccng1	1
Ccr2	1
Cd300lb	1
Cd47	1
Cd52	1
Cd68	1
Cdgap	1
Cebpa	1
Cebpb	1
Cebpd	1
Chdh	1
Chmp1a	1
Cisd3	1
Cit	1
Ckap4	1
Clca1	1
Clca2	1
Clic1	1
Commd6	1
Coro7	1
Crbn	1
Csf1r	1
Csf2rb	1
Csnk1e	1
Cst3	1
Cst7	1
Ctsa	1
Ctsg	1
Ctsh	1
Ctss	1
Ctsz	1
Cuedc1	1
D17H6S56E-5	1
Dad1	1
Dbi	1
Ddit4	1
Def8	1
Dgat1	1
Dhrs7	1
Dpp3	1
Dstn	1
Ear1	1
Ear12	1
Ear2	1
Ech1	1
Eef1a1	1
Eef2	1
Rps12	1
Eno1	1
Rpl7a	1
Rps14	1
Rps2	1
Rps27a	1
Rpl27	1
Rps7	1
Rps6	1
Rps13	1
Rpl22	1
Tpt1	1
Rpl9	1
Rpl38	1
Rpl27a	1
Rpl31	1
Ero1l	1
Rps3a	1
Rpl24	1
Ela2	1
Elp2	1
Emb	1
Fau	1
Tmsb10	1
Rpl28	1
Rps26	1
Rpl13	1
Rps18	1
Rps28	1
ENSMUSG00000073624	1
Ergic3	1
Erp29	1
Ethe1	1
F13a1	1
Fbp1	1
Fbxw4	1
Fcer1a	1
Fcer1g	1
Fcgr2b	1
Ffar2	1
Fkbp2	1
Flt3	1
Fndc3b	1
G430022H21Rik	1
Gas5	1
Gclm	1
Glipr1	1
Rps27a	1
Gmfg	1
Gnb2l1	1
Gng2	1
Golm1	1
Gosr2	1
Gpi1	1
Gpr160	1
Gpx4	1
H1f0	1
H2-D1	1
H2-M3	1
Hba-a1	1
Hba-a2	1
Hbb-b1	1
Hdc	1
Herpud1	1
Hexa	1
Hnrnpu	1
Hp	1
Hpse	1
Ifitm1	1
Igbp1	1
Igfbp4	1
Irf8	1
Iscu	1
Itgb2	1
Khdrbs1	1
Khk	1
Klrb1f	1
Krtcap2	1
Laptm5	1
Lbp	1
Lgals1	1
Lgals3bp	1
Lipa	1
Lmo4	1
Rps16	1
Ly6c1	1
Rpl3	1
Rpl23	1
Rpsa	1
Rps23	1
Zfp771	1
Pyhin1	1
Rpl36	1
Ugt1a1	1
Tifa	1
Mrgpra2	1
Ly6e	1
Ly86	1
Maea	1
Rpl22	1
Mcpt8	1
Mela	1
Mgst2	1
Mid1ip1	1
Mpeg1	1
Mpnd	1
Mpo	1
Mrpl44	1
Mrpl55	1
Ms4a2	1
Ms4a3	1
Ms4a6c	1
Mt1	1
Mtch1	1
Myeov2	1
Napsa	1
Ncf1	1
Ndufb7	1
Ndufs8	1
Nin	1
Npc2	1
Nudt7	1
Uba52	1
Rps6	1
Rps29	1
Rpl5	1
Rps12	1
Pabpc1	1
Pabpn1	1
Pde2a	1
Pgls	1
Pik3ap1	1
Pik3r6	1
Plac8	1
Ppia	1
Ppm1m	1
Preb	1
Prg2	1
Prtn3	1
Psap	1
Psmb10	1
Psmb8	1
Psmb9	1
Ptgr1	1
Ptms	1
Ptp4a3	1
Ptplb	1
Pycard	1
Rab3a	1
Rab7l1	1
Rabl4	1
Rassf4	1
Rbm3	1
Reep5	1
Rgs10	1
Rmnd5b	1
Slc28a2	1
Rpl12	1
Rpl13a	1
Rpl14	1
Rpl15	1
Rpl18	1
Rpl18a	1
Rpl22l1	1
Rpl23	1
Rpl26	1
Rpl32	1
Rpl37	1
Rpl39	1
Rpl41	1
Rpl6	1
Rpl8	1
Rpl9	1
Rplp0	1
Rplp1	1
Rplp2	1
Rps10	1
Rps14	1
Rps15	1
Rps17	1
Rps19	1
Rps2	1
Rps20	1
Rps21	1
Rps25	1
Rps27	1
Rps3	1
Rps5	1
Rxrb	1
S100a4	1
Scamp2	1
Scpep1	1
Selp	1
Sepx1	1
Sfrs18	1
Slc29a3	1
Slc35a5	1
Slc35b1	1
Slpi	1
Soat1	1
Ssr4	1
Stom	1
Stxbp2	1
Syngr2	1
Tap1	1
Tap2	1
Tcirg1	1
Tcn2	1
Tgfbi	1
Tmem50b	1
Tsc22d1	1
Tspo	1
Txndc15	1
Tyrobp	1
Ube2b	1
Ucp2	1
Unc50	1
Unc93b1	1
Uqcr	1
Uqcrq	1
Vta1	1
Zfp207	1
Znhit1	1
